University,Uni_Id,Name,Region,THE,QS,CWUR,ARWU,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,41,42,43,45,46,48,49,50,51,52,E1,E2,E3,E4,E5,E6,E7
MSU,1725,МГУ,Moscow,189,84,222,87,34613,81.86,94.72,60.27,23.19,6627,0,23,848,6069631.3,25418822.8,285.46,1,1,10,11,3521,99.83,0,0,19254,5027,3741,79.25,82.6,70.72,22.02,114.72,75.41,2441,7.05,9,131,173,2273,160885.2,15646.6,126924,292920,19832,24085,83.66,25418822.6,11749891.9,46.23,53.77,0,81.97,688.32,7.31,2882.57,184.48,65,11.66
MIPT,161,МФТИ,Moscow,201-250,302,539,401-500,6240,93.43,100,68.01,31.15,613,0,93,86,1948668.3,2034473.3,291.24,2,0,1,18,889,99.89,0,3,2005,402,216,75.37,52.78,68.41,28.86,139.48,141.43,601,9.63,2,14,168,863,13890.8,19744.2,0,93870,6146,2438,85.07,6444418.3,2081784.4,32.3,67.7,0,93.43,2263.35,9.63,6964.3,224.29,55,7.27
SSAU,251,СНИУ,Samara,1001+,651-700,,,14381,72.4,72.83,67.91,20.67,6300,1286,33,2012,857702.8,1017855.8,214.29,0,1,6,16,552,94.02,0,12,3049,1219,66,74.73,50,79.33,33.63,65.44,74.22,710,4.94,6,89,24,130,20826.5,16014.6,16579,62793,10425,3385,96.99,3301201.1,849477.9,25.73,70.04,4.23,72.65,714.93,5.67,2673.47,241.07,75,5.63
MSTU,147,МГТУ,Moscow,801-1000,284,,,21021,77.78,100,46.35,11.58,1929,1089,181,1324,3477860,3556027.8,500.81,1,1,3,23,875,78.51,0,19,6510,2023,189,65.05,45.5,66.63,24.47,125.36,137.47,1054,5.01,32,87,84,111,5970,158616.1,21153,68907,15594,8464,83.88,12829506.6,4078396.4,31.79,67.58,0.63,77.78,1817.12,5.01,5522.7,201.58,85,6.43
HSE,1766,ВШЭ,Moscow,251-300,322,879,901-1000,25046,85.44,96.33,72.13,26.71,16724,0,1,96,2530444.4,2530444.4,245.87,1,0,0,13,832,98.8,0,15,4901,1336,503,70.73,52.09,87.05,36.98,147.44,181.19,2164,8.64,48,4730,104,735,35335.9,105276.5,11914,144890,500,7884,100,16222774.8,7020194.3,43.27,56.73,0,85.44,1189.38,8.85,7208.84,237.09,75,4.56
MEPHI,165,МИФИ,Moscow,401-500,329,726,601-700,6355,88.37,93.31,33.8,28.31,1521,0,201,201,1626054.2,1637689.7,802.04,1,1,1,18,611,99.35,0,10,2591,700,49,73.57,73.47,65.71,25,128.29,217.16,1219,19.18,34,301,81,1776,2661.4,0,3724,82090,6245,4618,97.68,5032908.8,1881717,37.39,62.61,0,88.74,2317.66,20.07,6935.72,206.3,85,7.85
MGIMO,1758,МГИМО,Moscow,,366,,,8303,87.1,95.5,70.02,29.98,1848,0,0,758,160351,160351,734.42,1,0,0,0,212,96.23,12,8,2070,1190,43,56.39,83.72,76.39,29.08,119.47,131.44,1117,13.45,27,337,33,26,0,74020.4,299,24067,13882,2278,100,3724583.8,2802212.7,75.24,24.76,0,87.1,162.32,13.71,3186.26,192.11,65,8.11
RUDN,222,РУДН,Moscow,801-1000,392,1829,,24539,66.6,86.14,57.57,16.15,24490,0,105,1236,335267.2,512258.8,474.33,1,0,3,12,2801,93.15,8,30,4463,1661,22,72.55,68.18,83.62,31.67,131.73,115.36,6425,26.18,99,280,982,480,9685.9,723840,3600,127569,3250,5277,100,9071005.5,6348548.6,69.99,29.6,0.41,66.67,215.51,27.28,5301.43,211.82,65,4.91
MISIS,59,МИСИС,Moscow,601-800,451,1401,,7757,76.8,90.02,49.03,22.97,2532,0,37,537,1389532,1456028.3,483.09,0,0,1,31,510,99.22,0,13,2607,740,96,75.68,77.08,69.19,24.05,119.7,242.43,1802,23.23,9,24,58,576,4710,50521,28011,96288,5138,4423,100,5706607.1,2029577.2,35.57,64.43,0,76.84,2543.2,24.29,8580.07,192.48,80,5.77
